3,5,1
6,7,1
8,9,1
10,12,1
11,13,1
14,15,1
16,18,1
17,19,1
1,20,1
2,4,1
10,12,2
9,11,2
13,15,2
14,16,2
17,19,2
18,20,2
1,3,2
2,4,2
5,7,2
6,8,2
11,13,3
12,14,3
15,16,3
17,18,3
1,19,3
2,20,3
3,5,3
4,6,3
7,8,3
9,10,3
8,9,4
10,11,4
12,13,4
14,16,4
15,17,4
18,19,4
1,20,4
2,4,4
3,5,4
6,7,4
7,9,5
10,11,5
12,13,5
14,15,5
16,18,5
17,19,5
1,20,5
2,3,5
4,5,5
6,8,5
2,3,6
4,5,6
6,8,6
7,9,6
10,11,6
12,14,6
13,15,6
16,18,6
17,19,6
1,20,6
5,7,7
6,8,7
9,10,7
11,13,7
12,14,7
15,17,7
16,18,7
1,19,7
2,20,7
3,4,7
10,11,8
12,14,8
13,15,8
16,18,8
17,19,8
2,20,8
1,3,8
4,5,8
6,8,8
7,9,8
10,11,9
12,13,9
14,16,9
15,17,9
18,20,9
1,19,9
2,3,9
4,6,9
5,7,9
8,9,9
2,3,10
4,6,10
5,7,10
8,10,10
9,11,10
12,14,10
13,15,10
16,18,10
17,19,10
1,20,10
3,5,11
2,4,11
6,7,11
8,10,11
9,11,11
12,13,11
14,15,11
16,17,11
18,20,11
1,19,11
1,2,12
3,5,12
4,6,12
7,8,12
9,10,12
11,12,12
13,15,12
14,16,12
17,18,12
19,20,12
10,12,13
9,11,13
13,14,13
15,17,13
16,18,13
1,19,13
2,20,13
3,5,13
4,6,13
7,8,13
18,19,14
2,20,14
1,3,14
4,5,14
6,7,14
8,9,14
10,11,14
12,14,14
13,15,14
16,17,14
12,14,15
13,15,15
16,17,15
18,20,15
1,19,15
2,4,15
3,5,15
6,7,15
8,9,15
10,11,15
5,7,16
4,6,16
8,10,16
9,11,16
12,14,16
13,15,16
16,18,16
17,19,16
2,20,16
1,3,16
8,10,17
7,9,17
11,13,17
12,14,17
15,16,17
17,18,17
19,20,17
1,2,17
3,5,17
4,6,17
18,19,18
1,20,18
2,4,18
3,5,18
6,8,18
7,9,18
10,12,18
11,13,18
14,16,18
15,17,18
1,3,19
2,4,19
5,6,19
7,9,19
8,10,19
11,13,19
12,14,19
15,17,19
16,18,19
19,20,19
16,18,20
1,19,20
2,20,20
3,5,20
4,6,20
7,8,20
9,10,20
11,13,20
12,14,20
15,17,20
7,9,21
8,10,21
11,13,21
12,14,21
15,16,21
17,18,21
1,19,21
2,20,21
3,4,21
5,6,21
19,20,22
1,2,22
3,5,22
4,6,22
7,8,22
9,11,22
10,12,22
13,15,22
14,16,22
17,18,22
15,17,23
16,18,23
19,20,23
1,3,23
2,4,23
5,7,23
6,8,23
9,10,23
11,12,23
13,14,23
14,16,24
15,17,24
18,20,24
1,19,24
2,4,24
3,5,24
6,7,24
8,9,24
10,12,24
11,13,24
1,3,25
2,20,25
4,6,25
5,7,25
8,10,25
9,11,25
12,14,25
13,15,25
16,18,25
17,19,25
14,15,26
16,17,26
18,19,26
1,20,26
2,3,26
4,5,26
6,7,26
8,10,26
9,11,26
12,13,26
11,13,27
14,16,27
15,17,27
18,20,27
1,19,27
2,3,27
4,6,27
5,7,27
8,9,27
10,12,27
5,6,28
7,8,28
9,10,28
11,13,28
12,14,28
15,16,28
17,19,28
18,20,28
1,2,28
3,4,28
7,8,29
9,11,29
10,12,29
13,14,29
15,17,29
16,18,29
1,19,29
2,20,29
3,4,29
5,6,29
1,3,30
2,20,30
4,5,30
6,8,30
7,9,30
10,12,30
11,13,30
14,16,30
15,17,30
18,19,30
1,2,31
3,4,31
5,7,31
6,8,31
9,11,31
10,12,31
13,15,31
14,16,31
17,19,31
18,20,31
3,5,32
2,4,32
6,8,32
7,9,32
10,11,32
12,13,32
14,15,32
16,18,32
17,19,32
1,20,32
7,8,33
9,10,33
11,13,33
12,14,33
15,17,33
16,18,33
19,20,33
1,2,33
3,5,33
4,6,33
4,6,34
5,7,34
8,9,34
10,12,34
11,13,34
14,15,34
16,18,34
17,19,34
2,20,34
1,3,34
5,6,35
7,9,35
8,10,35
11,12,35
13,15,35
14,16,35
17,19,35
18,20,35
1,2,35
3,4,35
14,15,36
16,18,36
17,19,36
1,20,36
2,3,36
4,5,36
6,8,36
7,9,36
10,11,36
12,13,36
10,12,37
9,11,37
13,14,37
15,16,37
17,19,37
18,20,37
1,2,37
3,5,37
4,6,37
7,8,37
3,4,38
5,7,38
6,8,38
9,10,38
11,13,38
12,14,38
15,17,38
16,18,38
1,19,38
2,20,38
8,10,39
9,11,39
12,13,39
14,16,39
15,17,39
18,19,39
2,20,39
1,3,39
4,5,39
6,7,39
16,17,40
18,20,40
1,19,40
2,4,40
3,5,40
6,8,40
7,9,40
10,12,40
11,13,40
14,15,40
